"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"NIFTY 500","23,408.80","23,462.35","23,273.75","23,471.40","23,299.80","-","-171.60","-0.73","1,56,28,44,925","52,251.62","24,573.40","19,519.85","0.56","2.15"
"GLENMARK","2,094.40","2,284.80","2,094.40","1,904.00","2,172.10","-","268.10","14.08","1,20,63,138","2,637.87","2,284.80","1,275.50","17.85","37.99"
"NETWEB","1,821.60","1,973.00","1,808.00","1,812.70","1,940.60","-","127.90","7.06","23,38,305","450.76","3,060.00","1,251.55","-7.30","-29.48"
"HINDUNILVR","2,500.00","2,529.90","2,461.00","2,408.40","2,519.90","-","111.50","4.63","50,68,988","1,272.87","3,035.00","2,136.00","0.55","-7.74"
"JPPOWER","23.15","24.85","23.15","23.03","24.05","-","1.02","4.43","40,65,72,831","984.72","24.85","12.36","28.02","21.47"
"ANANDRATHI","2,188.00","2,250.00","2,185.00","2,119.90","2,213.00","-","93.10","4.39","14,75,248","328.88","2,323.00","1,594.00","6.74","-48.55"
"EIDPARRY","1,111.00","1,161.10","1,105.00","1,109.80","1,156.90","-","47.10","4.24","3,99,401","45.43","1,161.10","639.00","14.15","44.47"
"WOCKPHARMA","1,720.90","1,824.90","1,720.00","1,696.80","1,766.70","-","69.90","4.12","27,03,774","482.03","1,868.80","750.00","9.71","97.70"
"NTPCGREEN","108.10","113.13","108.01","108.24","112.49","-","4.25","3.93","2,86,43,811","318.81","155.35","84.55","-3.80","-"
"RBLBANK","254.00","264.00","252.35","254.65","263.58","-","8.93","3.51","87,67,142","227.52","266.90","146.10","14.77","4.45"
"RAMCOCEM","1,103.00","1,152.60","1,101.90","1,105.30","1,143.50","-","38.20","3.46","11,73,086","133.58","1,152.60","765.00","3.52","37.86"
"ASAHIINDIA","814.00","849.00","813.25","813.45","840.65","-","27.20","3.34","5,99,244","50.07","854.80","576.80","10.09","22.46"
"GILLETTE","10,490.00","10,960.00","10,489.00","10,442.00","10,740.00","-","298.00","2.85","48,209","52.19","11,006.00","7,293.00","2.99","41.25"
"ACMESOLAR","293.90","303.94","288.37","287.08","295.23","-","8.15","2.84","92,12,268","273.48","303.94","167.75","13.63","-"
"WHIRLPOOL","1,328.90","1,361.00","1,328.00","1,328.30","1,360.60","-","32.30","2.43","1,52,808","20.55","2,449.70","899.00","0.77","-34.39"
"VMM","130.50","134.00","129.75","130.55","133.70","-","3.15","2.41","1,00,85,857","132.96","137.80","95.99","0.18","-"
"NEULANDLAB","11,880.00","12,190.00","11,739.00","11,880.00","12,165.00","-","285.00","2.40","26,152","31.58","18,100.00","7,753.20","-6.26","49.99"
